,GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,NAME_M,RK9M001
0,G0100010,2005-2009,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",49584,"Autauga County, Alabama",0
1,G0100030,2005-2009,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",171997,"Baldwin County, Alabama",0
2,G0100050,2005-2009,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",29663,"Barbour County, Alabama",0
3,G0100070,2005-2009,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",21464,"Bibb County, Alabama",0
4,G0100090,2005-2009,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56804,"Blount County, Alabama",0
5,G0100110,2005-2009,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10917,"Bullock County, Alabama",0
6,G0100130,2005-2009,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20189,"Butler County, Alabama",0
7,G0100150,2005-2009,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",112969,"Calhoun County, Alabama",0
8,G0100170,2005-2009,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34704,"Chambers County, Alabama",0
9,G0100190,2005-2009,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",24427,"Cherokee County, Alabama",0
10,G0100210,2005-2009,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",42272,"Chilton County, Alabama",0
11,G0100230,2005-2009,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",14229,"Choctaw County, Alabama",0
12,G0100250,2005-2009,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",26438,"Clarke County, Alabama",0
13,G0100270,2005-2009,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13769,"Clay County, Alabama",0
14,G0100290,2005-2009,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14579,"Cleburne County, Alabama",0
15,G0100310,2005-2009,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",46802,"Coffee County, Alabama",0
16,G0100330,2005-2009,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54546,"Colbert County, Alabama",0
17,G0100350,2005-2009,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13114,"Conecuh County, Alabama",0
18,G0100370,2005-2009,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",10777,"Coosa County, Alabama",0
19,G0100390,2005-2009,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",36688,"Covington County, Alabama",0
20,G0100410,2005-2009,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13687,"Crenshaw County, Alabama",0
21,G0100430,2005-2009,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80630,"Cullman County, Alabama",0
22,G0100450,2005-2009,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",48233,"Dale County, Alabama",0
23,G0100470,2005-2009,,,Alabama,1,Dallas County,47,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",42748,"Dallas County, Alabama",0
24,G0100490,2005-2009,,,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",68183,"DeKalb County, Alabama",0
25,G0100510,2005-2009,,,Alabama,1,Elmore County,51,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",76714,"Elmore County, Alabama",0
26,G0100530,2005-2009,,,Alabama,1,Escambia County,53,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",37561,"Escambia County, Alabama",0
27,G0100550,2005-2009,,,Alabama,1,Etowah County,55,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",103150,"Etowah County, Alabama",0
28,G0100570,2005-2009,,,Alabama,1,Fayette County,57,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17651,"Fayette County, Alabama",0
29,G0100590,2005-2009,,,Alabama,1,Franklin County,59,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",30847,"Franklin County, Alabama",0
30,G0100610,2005-2009,,,Alabama,1,Geneva County,61,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",25800,"Geneva County, Alabama",0
31,G0100630,2005-2009,,,Alabama,1,Greene County,63,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",9112,"Greene County, Alabama",0
32,G0100650,2005-2009,,,Alabama,1,Hale County,65,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",17994,"Hale County, Alabama",0
33,G0100670,2005-2009,,,Alabama,1,Henry County,67,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",16580,"Henry County, Alabama",0
34,G0100690,2005-2009,,,Alabama,1,Houston County,69,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",97091,"Houston County, Alabama",0
35,G0100710,2005-2009,,,Alabama,1,Jackson County,71,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",52898,"Jackson County, Alabama",0
36,G0100730,2005-2009,,,Alabama,1,Jefferson County,73,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",662212,"Jefferson County, Alabama",0
37,G0100750,2005-2009,,,Alabama,1,Lamar County,75,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",14438,"Lamar County, Alabama",0
38,G0100770,2005-2009,,,Alabama,1,Lauderdale County,77,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",88550,"Lauderdale County, Alabama",0
39,G0100790,2005-2009,,,Alabama,1,Lawrence County,79,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",34094,"Lawrence County, Alabama",0
40,G0100810,2005-2009,,,Alabama,1,Lee County,81,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",130669,"Lee County, Alabama",0
41,G0100830,2005-2009,,,Alabama,1,Limestone County,83,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",74076,"Limestone County, Alabama",0
42,G0100850,2005-2009,,,Alabama,1,Lowndes County,85,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",12632,"Lowndes County, Alabama",0
43,G0100870,2005-2009,,,Alabama,1,Macon County,87,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",22304,"Macon County, Alabama",0
44,G0100890,2005-2009,,,Alabama,1,Madison County,89,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",314047,"Madison County, Alabama",0
45,G0100910,2005-2009,,,Alabama,1,Marengo County,91,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",21210,"Marengo County, Alabama",0
46,G0100930,2005-2009,,,Alabama,1,Marion County,93,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",29415,"Marion County, Alabama",0
47,G0100950,2005-2009,,,Alabama,1,Marshall County,95,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",87925,"Marshall County, Alabama",0
48,G0100970,2005-2009,,,Alabama,1,Mobile County,97,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",405331,"Mobile County, Alabama",0
49,G0100990,2005-2009,,,Alabama,1,Monroe County,99,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",22790,"Monroe County, Alabama",0
50,G0101010,2005-2009,,,Alabama,1,Montgomery County,101,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",224369,"Montgomery County, Alabama",0
51,G0101030,2005-2009,,,Alabama,1,Morgan County,103,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",115197,"Morgan County, Alabama",0
52,G0101050,2005-2009,,,Alabama,1,Perry County,105,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",10689,"Perry County, Alabama",0
53,G0101070,2005-2009,,,Alabama,1,Pickens County,107,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",19528,"Pickens County, Alabama",0
54,G0101090,2005-2009,,,Alabama,1,Pike County,109,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",30136,"Pike County, Alabama",0
55,G0101110,2005-2009,,,Alabama,1,Randolph County,111,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",22504,"Randolph County, Alabama",0
56,G0101130,2005-2009,,,Alabama,1,Russell County,113,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",50029,"Russell County, Alabama",0
57,G0101150,2005-2009,,,Alabama,1,St. Clair County,115,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",77585,"St. Clair County, Alabama",0
58,G0101170,2005-2009,,,Alabama,1,Shelby County,117,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",182996,"Shelby County, Alabama",0
59,G0101190,2005-2009,,,Alabama,1,Sumter County,119,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",13267,"Sumter County, Alabama",0
60,G0101210,2005-2009,,,Alabama,1,Talladega County,121,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",80190,"Talladega County, Alabama",0
61,G0101230,2005-2009,,,Alabama,1,Tallapoosa County,123,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",40778,"Tallapoosa County, Alabama",0
62,G0101250,2005-2009,,,Alabama,1,Tuscaloosa County,125,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",178754,"Tuscaloosa County, Alabama",0
63,G0101270,2005-2009,,,Alabama,1,Walker County,127,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",68880,"Walker County, Alabama",0
64,G0101290,2005-2009,,,Alabama,1,Washington County,129,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",17212,"Washington County, Alabama",0
65,G0101310,2005-2009,,,Alabama,1,Wilcox County,131,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",12552,"Wilcox County, Alabama",0
66,G0101330,2005-2009,,,Alabama,1,Winston County,133,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",24190,"Winston County, Alabama",0
67,G0200130,2005-2009,,,Alaska,2,Aleutians East Borough,13,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",2959,"Aleutians East Borough, Alaska",168
68,G0200160,2005-2009,,,Alaska,2,Aleutians West Census Area,16,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",5505,"Aleutians West Census Area, Alaska",731
69,G0200200,2005-2009,,,Alaska,2,Anchorage Municipality,20,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",280389,"Anchorage Municipality, Alaska",0
70,G0200500,2005-2009,,,Alaska,2,Bethel Census Area,50,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",17151,"Bethel Census Area, Alaska",0
71,G0200600,2005-2009,,,Alaska,2,Bristol Bay Borough,60,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",682,"Bristol Bay Borough, Alaska",310
72,G0200680,2005-2009,,,Alaska,2,Denali Borough,68,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",1529,"Denali Borough, Alaska",475
73,G0200700,2005-2009,,,Alaska,2,Dillingham Census Area,70,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",4946,"Dillingham Census Area, Alaska",0
74,G0200900,2005-2009,,,Alaska,2,Fairbanks North Star Borough,90,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",96843,"Fairbanks North Star Borough, Alaska",0
75,G0201000,2005-2009,,,Alaska,2,Haines Borough,100,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",2424,"Haines Borough, Alaska",195
76,G0201050,2005-2009,,,Alaska,2,Hoonah-Angoon Census Area,105,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",2042,"Hoonah-Angoon Census Area, Alaska",153
77,G0201100,2005-2009,,,Alaska,2,Juneau City and Borough,110,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",30777,"Juneau City and Borough, Alaska",0
78,G0201220,2005-2009,,,Alaska,2,Kenai Peninsula Borough,122,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",53052,"Kenai Peninsula Borough, Alaska",0
79,G0201300,2005-2009,,,Alaska,2,Ketchikan Gateway Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",13132,"Ketchikan Gateway Borough, Alaska",0
80,G0201500,2005-2009,,,Alaska,2,Kodiak Island Borough,150,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13147,"Kodiak Island Borough, Alaska",0
81,G0201640,2005-2009,,,Alaska,2,Lake and Peninsula Borough,164,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1399,"Lake and Peninsula Borough, Alaska",195
82,G0201700,2005-2009,,,Alaska,2,Matanuska-Susitna Borough,170,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",82099,"Matanuska-Susitna Borough, Alaska",0
83,G0201800,2005-2009,,,Alaska,2,Nome Census Area,180,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9339,"Nome Census Area, Alaska",0
84,G0201850,2005-2009,,,Alaska,2,North Slope Borough,185,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",6716,"North Slope Borough, Alaska",0
85,G0201880,2005-2009,,,Alaska,2,Northwest Arctic Borough,188,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7430,"Northwest Arctic Borough, Alaska",0
86,G0201950,2005-2009,,,Alaska,2,Petersburg Census Area,195,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",3862,"Petersburg Census Area, Alaska",0
87,G0201980,2005-2009,,,Alaska,2,Prince of Wales-Hyder Census Area,198,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",5572,"Prince of Wales-Hyder Census Area, Alaska",0
88,G0202200,2005-2009,,,Alaska,2,Sitka City and Borough,220,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8811,"Sitka City and Borough, Alaska",0
89,G0202300,2005-2009,,,Alaska,2,Skagway Municipality,230,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",1071,"Skagway Municipality, Alaska",153
90,G0202400,2005-2009,,,Alaska,2,Southeast Fairbanks Census Area,240,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",6760,"Southeast Fairbanks Census Area, Alaska",0
91,G0202610,2005-2009,,,Alaska,2,Valdez-Cordova Census Area,261,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9529,"Valdez-Cordova Census Area, Alaska",0
92,G0202700,2005-2009,,,Alaska,2,Wade Hampton Census Area,270,,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",7577,"Wade Hampton Census Area, Alaska",0
93,G0202750,2005-2009,,,Alaska,2,Wrangell City and Borough,275,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2168,"Wrangell City and Borough, Alaska",0
94,G0202820,2005-2009,,,Alaska,2,Yakutat City and Borough,282,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",418,"Yakutat City and Borough, Alaska",168
95,G0202900,2005-2009,,,Alaska,2,Yukon-Koyukuk Census Area,290,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5813,"Yukon-Koyukuk Census Area, Alaska",0
96,G0400010,2005-2009,,,Arizona,4,Apache County,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",69341,"Apache County, Arizona",0
97,G0400030,2005-2009,,,Arizona,4,Cochise County,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",127613,"Cochise County, Arizona",0
98,G0400050,2005-2009,,,Arizona,4,Coconino County,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",127312,"Coconino County, Arizona",0
99,G0400070,2005-2009,,,Arizona,4,Gila County,7,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",51850,"Gila County, Arizona",0
100,G0400090,2005-2009,,,Arizona,4,Graham County,9,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",34780,"Graham County, Arizona",0
101,G0400110,2005-2009,,,Arizona,4,Greenlee County,11,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",7723,"Greenlee County, Arizona",0
102,G0400120,2005-2009,,,Arizona,4,La Paz County,12,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20055,"La Paz County, Arizona",0
103,G0400130,2005-2009,,,Arizona,4,Maricopa County,13,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",3855521,"Maricopa County, Arizona",0
104,G0400150,2005-2009,,,Arizona,4,Mohave County,15,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",192988,"Mohave County, Arizona",0
105,G0400170,2005-2009,,,Arizona,4,Navajo County,17,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",110458,"Navajo County, Arizona",0
106,G0400190,2005-2009,,,Arizona,4,Pima County,19,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",990213,"Pima County, Arizona",0
107,G0400210,2005-2009,,,Arizona,4,Pinal County,21,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",296113,"Pinal County, Arizona",0
108,G0400230,2005-2009,,,Arizona,4,Santa Cruz County,23,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",42550,"Santa Cruz County, Arizona",0
109,G0400250,2005-2009,,,Arizona,4,Yavapai County,25,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",209365,"Yavapai County, Arizona",0
110,G0400270,2005-2009,,,Arizona,4,Yuma County,27,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",188983,"Yuma County, Arizona",0
111,G0500010,2005-2009,,,Arkansas,5,Arkansas County,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",19385,"Arkansas County, Arkansas",0
112,G0500030,2005-2009,,,Arkansas,5,Ashley County,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",22337,"Ashley County, Arkansas",0
113,G0500050,2005-2009,,,Arkansas,5,Baxter County,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",41468,"Baxter County, Arkansas",0
114,G0500070,2005-2009,,,Arkansas,5,Benton County,7,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",209931,"Benton County, Arkansas",0
115,G0500090,2005-2009,,,Arkansas,5,Boone County,9,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",36341,"Boone County, Arkansas",0
116,G0500110,2005-2009,,,Arkansas,5,Bradley County,11,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",11967,"Bradley County, Arkansas",0
117,G0500130,2005-2009,,,Arkansas,5,Calhoun County,13,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",5411,"Calhoun County, Arkansas",0
118,G0500150,2005-2009,,,Arkansas,5,Carroll County,15,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",27321,"Carroll County, Arkansas",0
119,G0500170,2005-2009,,,Arkansas,5,Chicot County,17,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",12279,"Chicot County, Arkansas",0
120,G0500190,2005-2009,,,Arkansas,5,Clark County,19,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",23601,"Clark County, Arkansas",0
121,G0500210,2005-2009,,,Arkansas,5,Clay County,21,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",16045,"Clay County, Arkansas",0
122,G0500230,2005-2009,,,Arkansas,5,Cleburne County,23,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",25292,"Cleburne County, Arkansas",0
123,G0500250,2005-2009,,,Arkansas,5,Cleveland County,25,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",8640,"Cleveland County, Arkansas",0
124,G0500270,2005-2009,,,Arkansas,5,Columbia County,27,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",24292,"Columbia County, Arkansas",0
125,G0500290,2005-2009,,,Arkansas,5,Conway County,29,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",20619,"Conway County, Arkansas",0
126,G0500310,2005-2009,,,Arkansas,5,Craighead County,31,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",91474,"Craighead County, Arkansas",0
127,G0500330,2005-2009,,,Arkansas,5,Crawford County,33,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",58740,"Crawford County, Arkansas",0
128,G0500350,2005-2009,,,Arkansas,5,Crittenden County,35,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",52199,"Crittenden County, Arkansas",0
129,G0500370,2005-2009,,,Arkansas,5,Cross County,37,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",18801,"Cross County, Arkansas",0
130,G0500390,2005-2009,,,Arkansas,5,Dallas County,39,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",8214,"Dallas County, Arkansas",0
131,G0500410,2005-2009,,,Arkansas,5,Desha County,41,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",13737,"Desha County, Arkansas",0
132,G0500430,2005-2009,,,Arkansas,5,Drew County,43,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",18699,"Drew County, Arkansas",0
133,G0500450,2005-2009,,,Arkansas,5,Faulkner County,45,,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",104468,"Faulkner County, Arkansas",0
134,G0500470,2005-2009,,,Arkansas,5,Franklin County,47,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",18037,"Franklin County, Arkansas",0
135,G0500490,2005-2009,,,Arkansas,5,Fulton County,49,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",11700,"Fulton County, Arkansas",0
136,G0500510,2005-2009,,,Arkansas,5,Garland County,51,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",96285,"Garland County, Arkansas",0
137,G0500530,2005-2009,,,Arkansas,5,Grant County,53,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",17544,"Grant County, Arkansas",0
138,G0500550,2005-2009,,,Arkansas,5,Greene County,55,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",40190,"Greene County, Arkansas",0
139,G0500570,2005-2009,,,Arkansas,5,Hempstead County,57,,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",23094,"Hempstead County, Arkansas",0
140,G0500590,2005-2009,,,Arkansas,5,Hot Spring County,59,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",31621,"Hot Spring County, Arkansas",0
141,G0500610,2005-2009,,,Arkansas,5,Howard County,61,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Arkansas",14253,"Howard County, Arkansas",0
142,G0500630,2005-2009,,,Arkansas,5,Independence County,63,,,,,,,,,,,,,,,,,,,,,,,,,,"Independence County, Arkansas",34462,"Independence County, Arkansas",0
143,G0500650,2005-2009,,,Arkansas,5,Izard County,65,,,,,,,,,,,,,,,,,,,,,,,,,,"Izard County, Arkansas",13086,"Izard County, Arkansas",0
144,G0500670,2005-2009,,,Arkansas,5,Jackson County,67,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Arkansas",17038,"Jackson County, Arkansas",0
145,G0500690,2005-2009,,,Arkansas,5,Jefferson County,69,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",79698,"Jefferson County, Arkansas",0
146,G0500710,2005-2009,,,Arkansas,5,Johnson County,71,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Arkansas",24576,"Johnson County, Arkansas",0
147,G0500730,2005-2009,,,Arkansas,5,Lafayette County,73,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette County, Arkansas",7715,"Lafayette County, Arkansas",0
148,G0500750,2005-2009,,,Arkansas,5,Lawrence County,75,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Arkansas",16912,"Lawrence County, Arkansas",0
149,G0500770,2005-2009,,,Arkansas,5,Lee County,77,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Arkansas",10776,"Lee County, Arkansas",0
150,G0500790,2005-2009,,,Arkansas,5,Lincoln County,79,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Arkansas",13753,"Lincoln County, Arkansas",0
151,G0500810,2005-2009,,,Arkansas,5,Little River County,81,,,,,,,,,,,,,,,,,,,,,,,,,,"Little River County, Arkansas",12921,"Little River County, Arkansas",0
152,G0500830,2005-2009,,,Arkansas,5,Logan County,83,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Arkansas",22550,"Logan County, Arkansas",0
153,G0500850,2005-2009,,,Arkansas,5,Lonoke County,85,,,,,,,,,,,,,,,,,,,,,,,,,,"Lonoke County, Arkansas",63424,"Lonoke County, Arkansas",0
154,G0500870,2005-2009,,,Arkansas,5,Madison County,87,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Arkansas",15478,"Madison County, Arkansas",0
155,G0500890,2005-2009,,,Arkansas,5,Marion County,89,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Arkansas",16581,"Marion County, Arkansas",0
